altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
4.08,9.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.63,7.0,0.0,0.0,0.0,0.0,2.0,1,1,0
0.7,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.15,6.0,0.0,0.0,0.0,0.0,2.0,1,0,1
1.91,7.0,0.0,0.0,0.0,0.0,2.0,1,0,0
3.08,5.0,0.0,0.0,0.0,0.0,4.0,1,0,0
1.85,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.71,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.54,6.0,0.0,0.0,0.0,0.0,0.0,1,0,1
8.17,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.93,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.9,7.0,0.0,0.0,0.0,0.0,2.0,1,0,1
9.38,6.0,0.0,0.0,0.0,0.0,4.0,1,0,1
3.35,8.0,0.0,0.0,0.0,0.0,3.0,1,0,0
4.85,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
0.33,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.54,7.0,0.0,0.0,0.0,0.0,3.0,1,0,1
3.6,6.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.8,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1
-0.6,5.0,0.0,0.0,0.0,0.0,3.0,1,1,0
34.26,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.43,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.95,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.5,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.34,9.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10.61,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.5,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.45,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.77,5.0,1.0,0.0,0.0,0.0,4.0,1,1,0
9.75,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1
4.46,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
10.89,6.0,0.0,0.0,0.0,0.0,2.0,1,0,1
0.89,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.75,4.0,0.0,0.0,0.0,0.0,2.0,1,1,0
2.32,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.72,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
12.54,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-1.94,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.66,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.17,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.35,7.0,0.0,0.0,0.0,0.0,5.0,1,0,1
2.41,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
13.84,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
13.24,8.0,0.0,0.0,0.0,0.0,3.0,1,0,1
4.6,9.0,0.0,0.0,0.0,0.0,2.0,1,0,1
5.32,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
12.66,8.0,0.0,0.0,0.0,0.0,0.0,1,1,1
2.08,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.4,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.97,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.22,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.29,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-2.3,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
20.85,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.92,7.0,0.0,0.0,0.0,0.0,2.0,1,1,0
1.06,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.66,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-3.77,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.05,3.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-87.74,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.9,9.0,0.0,0.0,0.0,0.0,6.0,1,0,0
27.22,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.17,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
3.97,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.81,4.0,0.0,0.0,0.0,0.0,7.0,1,1,0
11.04,7.0,0.0,0.0,0.0,0.0,1.0,1,0,1
-0.71,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.79,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25.55,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.55,4.0,0.0,0.0,0.0,1.0,0.0,0,0,0
4.9,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.44,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.38,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.37,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
20.5,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0
12.46,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.92,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.08,6.0,0.0,0.0,0.0,0.0,3.0,0,0,0
15.06,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
10.29,6.0,0.0,0.0,0.0,0.0,2.0,1,0,1
1.99,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.8,6.0,0.0,0.0,0.0,0.0,1.0,1,0,1
6.36,4.0,0.0,0.0,0.0,0.0,7.0,1,1,0
-5.39,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.76,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.61,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.96,4.0,0.0,0.0,1.0,1.0,6.0,1,0,1
11.5,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
4.04,8.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-18.58,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-2.83,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.4,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.49,4.0,0.0,0.0,0.0,0.0,0.0,1,0,1
6.81,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-4.88,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.11,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.12,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.26,3.0,0.0,0.0,0.0,0.0,2.0,1,0,1
1.29,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.4,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.15,8.0,0.0,0.0,0.0,0.0,4.0,1,0,0
9.86,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.83,7.0,0.0,0.0,0.0,1.0,7.0,1,1,0
7.2,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.33,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.21,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.97,6.0,0.0,0.0,0.0,0.0,5.0,1,0,0
0.46,6.0,0.0,0.0,0.0,0.0,2.0,1,0,1
5.67,3.0,0.0,0.0,0.0,0.0,0.0,1,0,1
7.63,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
